NU,Gecon_ID,newid,NUtS_country,latitude,longitude,cellid,pop90,pop95,pop00,pop05,gdp_PPP90,gdp_PPP95,gdp_PPP00,gdp_PPP05,GCP_MER90,GCP_MER95,GCP_MER00,GCP_MER05
TR,792,39035792,Turkey,39.5,35.5,39035,415737.0768,451231.0338,484788.3058,508072.3089,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39036792,Turkey,39.5,36.5,39036,328866.1731,338288.769,344846.189,343312.2789,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39037792,Turkey,39.5,37.5,39037,262633.0687,262625.9492,259982.567,251091.1063,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39038792,Turkey,39.5,38.5,39038,268459.5171,274468.984,278520.0142,276389.8403,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39039792,Turkey,39.5,39.5,39039,211019.4284,203079.5646,195358.896,184993.1852,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39040792,Turkey,39.5,40.5,39040,289727.2049,297629.8452,303195.1169,301759.8233,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39041792,Turkey,39.5,41.5,39041,352157.1778,375397.3414,396271.0939,408217.6789,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39042792,Turkey,39.5,42.5,39042,390400.2322,425630.915,459516.6904,484119.2489,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39043792,Turkey,39.5,43.5,39043,370335.834,417130.2587,465451.588,507065.0642,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,39044792,Turkey,39.5,44.5,39044,135469.0163,150342.2608,165142.0696,177077.9792,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40026792,Turkey,40.5,26.5,40026,320370.1371,333700.1066,344790.9469,348314.4827,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40027792,Turkey,40.5,27.5,40027,320030.9814,347372.7685,373978.6827,393569.2493,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40028792,Turkey,40.5,28.5,40028,621576.9967,719742.3806,825253.7274,923338.5419,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40029792,Turkey,40.5,29.5,40029,1747330.333,2026973.249,2328138.67,2609155.637,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40030792,Turkey,40.5,30.5,40030,1020162.642,1101085.367,1177776.036,1230456.866,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40031792,Turkey,40.5,31.5,40031,685673.996,745851.1339,803745.7665,845597.4904,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40032792,Turkey,40.5,32.5,40032,821127.3619,906878.9025,991900.4595,1058781.535,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40033792,Turkey,40.5,33.5,40033,549767.6845,595869.1122,639988.7653,671242.6968,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
TR,792,40034792,Turkey,40.5,34.5,40034,444994.9401,444079.662,438708.8389,422819.8222,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΔΙΑΙΡ/0!,#ΤΙΜΗ!,#ΤΙΜΗ!,#ΤΙΜΗ!
